Feature,Importance
DllCharacteristics,0.20971327126593423
DebugSize,0.13331745636200026
DebugRVA,0.12272710178561962
MajorLinkerVersion,0.10974213924706254
MajorOSVersion,0.09199561641842388
ResourceSize,0.08785224360642084
Machine,0.051730908553357234
NumberOfSections,0.04664093767236936
IatVRA,0.0396717263585143
MajorImageVersion,0.03420989916845266
SizeOfStackReserve,0.0302977426609181
ExportSize,0.018770434611631023
MinorLinkerVersion,0.013128130710326886
ExportRVA,0.009437456828840058
BitcoinAddresses,0.0007649347501290249
